feature,importance
amt_rolling_mean_3,0.43453187
amt_rolling_std_3,0.0858
is_night,0.053470403
amt,0.0529969
amt_log,0.04279219
amt_zscore,0.042664945
amt_bucket_encoded,0.04189578
is_weekend,0.030551951
gender_encoded,0.028415242
distance_bucket_encoded,0.026362762
category_encoded,0.023907864
hour,0.018838078
card_tx_count,0.013881495
year,0.013848183
dayofweek,0.010047007
merchant_freq,0.009942306
time_since_last_tx_log,0.008364007
amt_deviation_from_card_avg,0.007708476
time_since_last_tx,0.0076376335
card_avg_amt,0.0068469397
month,0.006333841
city_pop_log,0.0044805957
card_tx_sequence,0.003373749
age,0.0032942034
distance_log,0.0031186051
lat,0.0028213228
day,0.0027748023
merch_lat,0.002543323
city_pop,0.002543041
distance_km,0.0024962067
state_encoded,0.0021637406
long,0.002016408
merch_long,0.0015360604
is_recent_active,0.0
